# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\scripts\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_011_s42\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_011_s42 --batch-size 64 --coverage-stride 60 --early-stop-patience 3 --epochs 8 --eps-decay-frac 0.5 --eval-every 400 --eval-offsets 3 --eval-seeds 42,43,44 --eval-sequences longdress,loot,redandblack,soldier --gamma 1.0 --hidden 256 --lam 1.0 --lr 0.0003 --mu 4.3 --protocol configs/experiment_protocol.json --reward-spec {"rebuffer_weight": 2.0, "startup_weight": 1.0, "drop_weight": null} --seed 42 --segment-frames 10 --select-by qoe_quality --target-update 6000 --torch-threads 2 --lstm C:\Users\Nima\PointCloudStreaming\models/bandwidth_lstm_s10.pkl
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | validation sequences: ['longdress', 'loot', 'redandblack', 'soldier']
   protocol: 4071599372abeb61 | train files: 13 | validation files: 4 | registered test files: 4 (NOT evaluated) | frames/episode: 300
   coverage stride: 60 samples -> 417 episodes/epoch x 8 epochs = 3336 episodes (~100080 env steps)
   segment: 10 frames/request (30 decisions/episode) | validation offsets/trace: 3 | validation seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   PyTorch CPU threads/trial: 2
   LSTM: models\bandwidth_lstm_s10.pkl
   reward = QoE: (100/N)*sum(q[fixed_log_bitrate]) - 4.3*stall_duration - 2.0*rebuffer_events - 1.0*sum|delta_segment_q| - (100/N)*dropped_frames - 1.0*startup_delay  (gamma=1.0, lr=0.0003, no learner-side scaling)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_011_s42\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_011_s42
==========================================================================================
[validation @ ep 0] untrained: reward=QoE=-10530.00
[ep    1] longdress    driving_B_2020.02.13_15.02.01.csv@803   reward=QoE=    7.60 eps=0.999 loss=0.0000
[ep    2] loot         driving_B_2020.02.14_09.38.22.csv@1478  reward=QoE=   -7.10 eps=0.999 loss=0.0000
[ep    3] redandblack  driving_B_2020.01.16_09.56.56.csv@348   reward=QoE=  -78.13 eps=0.998 loss=1.5016
[ep    4] soldier      driving_B_2020.01.16_09.56.56.csv@708   reward=QoE=   44.74 eps=0.998 loss=1.4028
[ep    5] longdress    driving_B_2020.02.13_15.02.01.csv@1763  reward=QoE=   33.70 eps=0.997 loss=1.2434
[ep    6] loot         static_B_2020.02.27_18.39.27.csv@4478  reward=QoE=   30.14 eps=0.997 loss=1.0107
[ep    7] redandblack  driving_B_2020.01.16_07.26.43.csv@1724  reward=QoE=  -22.87 eps=0.996 loss=0.9458
[ep    8] soldier      static_B_2019.12.16_13.40.04.csv@126   reward=QoE=   14.22 eps=0.995 loss=1.0651
[ep    9] longdress    driving_B_2020.01.16_09.56.56.csv@108   reward=QoE= -164.91 eps=0.995 loss=1.1743
[ep   10] loot         static_B_2020.02.27_18.39.27.csv@3278  reward=QoE=   12.55 eps=0.994 loss=1.4854
[ep   11] redandblack  driving_B_2020.02.14_09.38.22.csv@222   reward=QoE= -162.38 eps=0.994 loss=1.2953
[ep   12] soldier      driving_B_2020.02.13_13.03.24.csv@2188  reward=QoE= -251.50 eps=0.993 loss=2.0273
[ep   13] longdress    static_B_2020.02.14_13.21.26.csv@809   reward=QoE=   40.76 eps=0.993 loss=2.1133
[ep   14] loot         driving_B_2020.01.16_07.26.43.csv@1770  reward=QoE= -187.94 eps=0.992 loss=1.9118
[ep   15] redandblack  driving_B_2020.02.13_15.02.01.csv@623   reward=QoE=  -75.53 eps=0.991 loss=1.9222
[ep   16] soldier      driving_B_2019.12.17_07.32.39.csv@558   reward=QoE=  -53.69 eps=0.991 loss=2.0967
[ep   17] longdress    driving_B_2019.12.17_07.32.39.csv@198   reward=QoE=  -19.48 eps=0.990 loss=1.9282
[ep   18] loot         driving_B_2020.01.16_12.10.03.csv@244   reward=QoE=   13.41 eps=0.990 loss=1.7362
[ep   19] redandblack  driving_B_2020.02.13_15.02.01.csv@2754  reward=QoE=  -73.37 eps=0.989 loss=1.8262
[ep   20] soldier      driving_B_2019.12.17_07.32.39.csv@438   reward=QoE=   44.54 eps=0.989 loss=1.5428
