# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\scripts\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_004_s43\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_004_s43 --batch-size 128 --coverage-stride 60 --early-stop-patience 0 --epochs 3 --eps-decay-frac 0.5 --eval-every 400 --eval-offsets 3 --eval-seeds 42,43,44 --eval-sequences longdress,loot,redandblack,soldier --gamma 1.0 --hidden 128 --lam 1.0 --lr 0.0003 --mu 4.3 --protocol configs/experiment_protocol.json --reward-spec {"rebuffer_weight": 2.0, "startup_weight": 1.0, "drop_weight": null} --seed 43 --segment-frames 5 --select-by qoe_quality --target-update 3000 --torch-threads 2 --lstm C:\Users\Nima\PointCloudStreaming\models/bandwidth_lstm_s5.pkl
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | validation sequences: ['longdress', 'loot', 'redandblack', 'soldier']
   protocol: 4071599372abeb61 | train files: 13 | validation files: 4 | registered test files: 4 (NOT evaluated) | frames/episode: 300
   coverage stride: 60 samples -> 417 episodes/epoch x 3 epochs = 1251 episodes (~75060 env steps)
   segment: 5 frames/request (60 decisions/episode) | validation offsets/trace: 3 | validation seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   PyTorch CPU threads/trial: 2
   LSTM: models\bandwidth_lstm_s5.pkl
   reward = QoE: (100/N)*sum(q[fixed_log_bitrate]) - 4.3*stall_duration - 2.0*rebuffer_events - 1.0*sum|delta_segment_q| - (100/N)*dropped_frames - 1.0*startup_delay  (gamma=1.0, lr=0.0003, no learner-side scaling)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_004_s43\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_004_s43
==========================================================================================
[validation @ ep 0] untrained: reward=QoE=-10945.44
[ep    1] longdress    driving_B_2020.01.16_07.26.43.csv@1594  reward=QoE= -163.88 eps=0.999 loss=0.0000
[ep    2] loot         static_B_2020.02.14_13.21.26.csv@494   reward=QoE=   28.79 eps=0.997 loss=0.0000
[ep    3] redandblack  static_B_2019.12.16_13.40.04.csv@301   reward=QoE=  -14.41 eps=0.995 loss=1.1626
[ep    4] soldier      driving_B_2020.02.14_09.38.22.csv@324   reward=QoE= -279.03 eps=0.994 loss=1.3725
[ep    5] longdress    driving_B_2020.02.13_13.03.24.csv@1747  reward=QoE=  -13.10 eps=0.992 loss=1.5161
[ep    6] loot         driving_B_2020.01.16_09.56.56.csv@104   reward=QoE=  -97.91 eps=0.991 loss=1.2904
[ep    7] redandblack  static_B_2020.02.14_13.21.26.csv@314   reward=QoE=   41.73 eps=0.989 loss=1.2617
[ep    8] soldier      static_B_2020.02.14_13.21.26.csv@194   reward=QoE=   30.47 eps=0.988 loss=1.1361
[ep    9] longdress    driving_B_2020.01.16_12.10.03.csv@244   reward=QoE=   33.76 eps=0.986 loss=0.9509
[ep   10] loot         static_B_2020.02.27_18.39.27.csv@5707  reward=QoE=   38.83 eps=0.985 loss=0.9433
[ep   11] redandblack  static_B_2020.02.27_18.39.27.csv@3367  reward=QoE=   37.21 eps=0.983 loss=0.7749
[ep   12] soldier      driving_B_2020.02.13_13.03.24.csv@2188  reward=QoE= -250.07 eps=0.982 loss=0.8239
[ep   13] longdress    driving_B_2019.12.16_12.27.05.csv@686   reward=QoE=  -55.33 eps=0.980 loss=0.9664
[ep   14] loot         driving_B_2019.12.16_12.27.05.csv@1106  reward=QoE=  -40.30 eps=0.979 loss=0.8858
[ep   15] redandblack  driving_B_2020.01.16_07.26.43.csv@1770  reward=QoE= -108.97 eps=0.977 loss=0.9516
[ep   16] soldier      driving_B_2020.02.13_15.02.01.csv@1571  reward=QoE= -549.76 eps=0.976 loss=1.1707
[ep   17] longdress    driving_B_2019.12.17_07.32.39.csv@153   reward=QoE=  -59.49 eps=0.974 loss=1.1995
[ep   18] loot         driving_B_2020.02.13_13.03.24.csv@247   reward=QoE=  -69.24 eps=0.973 loss=1.0879
[ep   19] redandblack  static_B_2020.02.27_18.39.27.csv@1627  reward=QoE=   27.83 eps=0.971 loss=1.1864
[ep   20] soldier      driving_B_2019.12.16_12.27.05.csv@746   reward=QoE=    2.21 eps=0.970 loss=1.0835
[ep   21] longdress    driving_B_2019.12.16_12.27.05.csv@986   reward=QoE=   38.99 eps=0.968 loss=1.0734
[ep   22] loot         driving_B_2020.02.13_15.02.01.csv@851   reward=QoE=  -26.65 eps=0.967 loss=0.9886
[ep   23] redandblack  static_B_2020.02.27_18.39.27.csv@5742  reward=QoE=   22.81 eps=0.965 loss=0.9847
[ep   24] soldier      driving_B_2020.02.14_09.38.22.csv@24    reward=QoE= -135.58 eps=0.964 loss=1.0107
[ep   25] longdress    driving_B_2020.02.13_15.02.01.csv@1751  reward=QoE=   -5.30 eps=0.962 loss=0.9463
[ep   26] loot         driving_B_2020.02.14_09.38.22.csv@84    reward=QoE=  -70.98 eps=0.961 loss=0.9157
[ep   27] redandblack  driving_B_2019.12.17_07.32.39.csv@2288  reward=QoE=   14.12 eps=0.959 loss=0.9219
[ep   28] soldier      static_B_2020.02.27_18.39.27.csv@5227  reward=QoE=  -19.68 eps=0.957 loss=0.8816
[ep   29] longdress    driving_B_2020.01.16_09.56.56.csv@704   reward=QoE=   12.83 eps=0.956 loss=0.8955
[ep   30] loot         driving_B_2020.02.13_15.02.01.csv@2171  reward=QoE=   24.98 eps=0.954 loss=0.7651
[ep   31] redandblack  driving_B_2020.01.16_09.56.56.csv@1064  reward=QoE=  -56.29 eps=0.953 loss=0.8592
[ep   32] soldier      static_B_2020.02.27_18.39.27.csv@1267  reward=QoE=   29.28 eps=0.951 loss=0.8699
[ep   33] longdress    driving_B_2020.02.13_13.03.24.csv@367   reward=QoE= -155.70 eps=0.950 loss=0.8032
[ep   34] loot         static_B_2020.02.27_18.39.27.csv@3907  reward=QoE=   42.55 eps=0.948 loss=0.8037
[ep   35] redandblack  static_B_2020.02.27_18.39.27.csv@4027  reward=QoE=   20.85 eps=0.947 loss=0.7630
[ep   36] soldier      driving_B_2020.02.13_13.03.24.csv@487   reward=QoE= -162.83 eps=0.945 loss=0.7770
[ep   37] longdress    driving_B_2019.12.17_07.32.39.csv@813   reward=QoE= -137.24 eps=0.944 loss=0.7731
[ep   38] loot         driving_B_2020.02.13_15.02.01.csv@971   reward=QoE=  -45.68 eps=0.942 loss=0.7481
[ep   39] redandblack  driving_B_2020.02.14_09.38.22.csv@1478  reward=QoE=  -54.55 eps=0.941 loss=0.7766
[ep   40] soldier      driving_B_2020.02.13_15.02.01.csv@371   reward=QoE=   45.52 eps=0.939 loss=0.7144
[ep   41] longdress    driving_B_2020.01.16_09.56.56.csv@884   reward=QoE= -102.11 eps=0.938 loss=0.6867
[ep   42] loot         driving_B_2020.02.13_15.02.01.csv@2711  reward=QoE=  -89.20 eps=0.936 loss=0.7225
[ep   43] redandblack  driving_B_2020.02.13_13.03.24.csv@187   reward=QoE= -114.57 eps=0.935 loss=0.7046
[ep   44] soldier      driving_B_2020.01.16_07.26.43.csv@274   reward=QoE=  -47.75 eps=0.933 loss=0.7616
[ep   45] longdress    static_B_2020.02.14_13.21.26.csv@254   reward=QoE=   22.44 eps=0.932 loss=0.7368
[ep   46] loot         driving_B_2019.12.17_07.32.39.csv@1593  reward=QoE=   -8.65 eps=0.930 loss=0.7281
[ep   47] redandblack  driving_B_2019.12.17_07.32.39.csv@393   reward=QoE=   34.22 eps=0.929 loss=0.6953
[ep   48] soldier      static_B_2019.12.16_13.40.04.csv@1381  reward=QoE=  -25.76 eps=0.927 loss=0.7294
[ep   49] longdress    driving_B_2019.12.17_07.32.39.csv@933   reward=QoE= -130.28 eps=0.926 loss=0.7017
[ep   50] loot         driving_B_2019.12.17_07.32.39.csv@2288  reward=QoE=   30.17 eps=0.924 loss=0.6845
[ep   51] redandblack  static_B_2019.12.16_13.40.04.csv@361   reward=QoE=   -6.45 eps=0.923 loss=0.6927
[ep   52] soldier      driving_B_2020.01.16_07.26.43.csv@814   reward=QoE=   -1.11 eps=0.921 loss=0.7171
[ep   53] longdress    driving_B_2020.01.16_07.26.43.csv@1714  reward=QoE=  -81.01 eps=0.920 loss=0.7712
[ep   54] loot         static_B_2020.02.27_18.39.27.csv@2527  reward=QoE=   32.07 eps=0.918 loss=0.7591
[ep   55] redandblack  driving_B_2019.12.17_07.32.39.csv@1773  reward=QoE=  -60.86 eps=0.916 loss=0.7887
[ep   56] soldier      driving_B_2020.02.27_17.30.15.csv@618   reward=QoE= -428.90 eps=0.915 loss=0.7251
[ep   57] longdress    static_B_2020.02.27_18.39.27.csv@1087  reward=QoE=  -52.15 eps=0.913 loss=0.8166
[ep   58] loot         driving_B_2020.02.14_12.58.17.csv@314   reward=QoE= -302.51 eps=0.912 loss=0.8203
[ep   59] redandblack  static_B_2020.02.27_18.39.27.csv@4327  reward=QoE=   30.43 eps=0.910 loss=0.8207
[ep   60] soldier      driving_B_2019.12.17_07.32.39.csv@1533  reward=QoE=  -41.84 eps=0.909 loss=0.7981
[ep   61] longdress    driving_B_2019.12.17_07.32.39.csv@1953  reward=QoE=  -25.65 eps=0.907 loss=0.8216
[ep   62] loot         driving_B_2020.01.16_09.56.56.csv@584   reward=QoE=   38.72 eps=0.906 loss=0.8183
[ep   63] redandblack  static_B_2020.02.27_18.39.27.csv@3187  reward=QoE=  -34.44 eps=0.904 loss=0.7893
[ep   64] soldier      driving_B_2020.02.13_13.03.24.csv@1807  reward=QoE=-1076.65 eps=0.903 loss=0.9532
[ep   65] longdress    driving_B_2019.12.16_12.27.05.csv@326   reward=QoE=  -80.46 eps=0.901 loss=0.9860
[ep   66] loot         driving_B_2020.01.16_09.56.56.csv@1424  reward=QoE=   39.73 eps=0.900 loss=0.9879
[ep   67] redandblack  static_B_2020.02.27_18.39.27.csv@127   reward=QoE=   39.97 eps=0.898 loss=1.0983
[ep   68] soldier      driving_B_2020.01.16_09.56.56.csv@764   reward=QoE=   -3.59 eps=0.897 loss=0.9351
[ep   69] longdress    driving_B_2020.02.14_09.38.22.csv@444   reward=QoE=  -15.32 eps=0.895 loss=0.9177
[ep   70] loot         driving_B_2020.02.13_15.02.01.csv@911   reward=QoE=   19.23 eps=0.894 loss=0.9409
[ep   71] redandblack  static_B_2020.02.27_18.39.27.csv@3307  reward=QoE=   36.76 eps=0.892 loss=0.8146
[ep   72] soldier      driving_B_2019.12.16_12.27.05.csv@866   reward=QoE=   44.87 eps=0.891 loss=1.0693
[ep   73] longdress    driving_B_2020.02.13_15.02.01.csv@1871  reward=QoE=  -62.80 eps=0.889 loss=1.1208
[ep   74] loot         static_B_2020.02.27_18.39.27.csv@2887  reward=QoE=   46.36 eps=0.888 loss=0.8939
[ep   75] redandblack  driving_B_2020.02.13_13.03.24.csv@1147  reward=QoE=  -96.96 eps=0.886 loss=0.9560
[ep   76] soldier      static_B_2019.12.16_13.40.04.csv@1861  reward=QoE= -301.85 eps=0.885 loss=0.8759
[ep   77] longdress    static_B_2020.02.27_18.39.27.csv@3247  reward=QoE=   39.38 eps=0.883 loss=0.9360
[ep   78] loot         static_B_2020.02.14_13.21.26.csv@14    reward=QoE=   12.59 eps=0.882 loss=0.8646
[ep   79] redandblack  driving_B_2020.02.13_15.02.01.csv@1631  reward=QoE= -184.18 eps=0.880 loss=1.0425
[ep   80] soldier      static_B_2020.02.27_18.39.27.csv@1327  reward=QoE=   51.24 eps=0.879 loss=0.9712
[ep   81] longdress    driving_B_2020.02.13_13.03.24.csv@1987  reward=QoE= -249.08 eps=0.877 loss=1.0950
[ep   82] loot         static_B_2020.02.27_18.39.27.csv@367   reward=QoE=   39.24 eps=0.875 loss=0.9823
[ep   83] redandblack  driving_B_2020.02.13_15.02.01.csv@11    reward=QoE=   26.19 eps=0.874 loss=0.8785
[ep   84] soldier      driving_B_2020.02.13_15.02.01.csv@1811  reward=QoE=   34.40 eps=0.872 loss=0.9655
[ep   85] longdress    static_B_2020.02.27_18.39.27.csv@4567  reward=QoE=   14.17 eps=0.871 loss=0.9059
[ep   86] loot         driving_B_2020.02.14_09.38.22.csv@204   reward=QoE= -118.23 eps=0.869 loss=0.8631
[ep   87] redandblack  driving_B_2020.02.13_13.03.24.csv@1507  reward=QoE=  -76.26 eps=0.868 loss=0.8910
[ep   88] soldier      driving_B_2020.02.14_12.58.17.csv@800   reward=QoE= -358.23 eps=0.866 loss=0.9388
[ep   89] longdress    driving_B_2019.12.16_12.27.05.csv@926   reward=QoE=  -12.20 eps=0.865 loss=0.8932
[ep   90] loot         static_B_2020.02.27_18.39.27.csv@1387  reward=QoE=   42.22 eps=0.863 loss=1.0338
[ep   91] redandblack  driving_B_2019.12.17_07.32.39.csv@1113  reward=QoE=   24.46 eps=0.862 loss=1.0591
[ep   92] soldier      driving_B_2019.12.16_12.27.05.csv@566   reward=QoE= -329.19 eps=0.860 loss=0.9061
[ep   93] longdress    static_B_2020.02.27_18.39.27.csv@2227  reward=QoE=   43.60 eps=0.859 loss=0.9386
[ep   94] loot         static_B_2020.02.27_18.39.27.csv@847   reward=QoE=   29.89 eps=0.857 loss=0.8906
[ep   95] redandblack  driving_B_2020.01.16_07.26.43.csv@34    reward=QoE=  -33.18 eps=0.856 loss=0.9165
[ep   96] soldier      driving_B_2020.02.13_15.02.01.csv@2591  reward=QoE=   22.01 eps=0.854 loss=0.8600
[ep   97] longdress    static_B_2020.02.27_18.39.27.csv@4927  reward=QoE=   32.03 eps=0.853 loss=0.8357
[ep   98] loot         driving_B_2020.01.16_09.56.56.csv@824   reward=QoE=  -50.04 eps=0.851 loss=0.8458
[ep   99] redandblack  driving_B_2020.02.13_13.03.24.csv@847   reward=QoE= -178.78 eps=0.850 loss=0.9405
[ep  100] soldier      driving_B_2020.02.27_17.30.15.csv@720   reward=QoE= -408.21 eps=0.848 loss=0.9526
[ep  101] longdress    driving_B_2020.01.16_12.10.03.csv@55    reward=QoE=   24.07 eps=0.847 loss=0.8373
