# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\scripts\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_009_s44\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_009_s44 --batch-size 128 --coverage-stride 60 --early-stop-patience 0 --epochs 3 --eps-decay-frac 0.5 --eval-every 400 --eval-offsets 3 --eval-seeds 42,43,44 --eval-sequences longdress,loot,redandblack,soldier --gamma 1.0 --hidden 128 --lam 1.0 --lr 0.0003 --mu 4.3 --protocol configs/experiment_protocol.json --reward-spec {"rebuffer_weight": 2.0, "startup_weight": 1.0, "drop_weight": null} --seed 44 --segment-frames 8 --select-by qoe_quality --target-update 3000 --torch-threads 2 --lstm C:\Users\Nima\PointCloudStreaming\models/bandwidth_lstm_s8.pkl
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | validation sequences: ['longdress', 'loot', 'redandblack', 'soldier']
   protocol: 4071599372abeb61 | train files: 13 | validation files: 4 | registered test files: 4 (NOT evaluated) | frames/episode: 300
   coverage stride: 60 samples -> 417 episodes/epoch x 3 epochs = 1251 episodes (~47538 env steps)
   segment: 8 frames/request (38 decisions/episode) | validation offsets/trace: 3 | validation seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   PyTorch CPU threads/trial: 2
   LSTM: models\bandwidth_lstm_s8.pkl
   reward = QoE: (100/N)*sum(q[fixed_log_bitrate]) - 4.3*stall_duration - 2.0*rebuffer_events - 1.0*sum|delta_segment_q| - (100/N)*dropped_frames - 1.0*startup_delay  (gamma=1.0, lr=0.0003, no learner-side scaling)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_009_s44\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_009_s44
==========================================================================================
[validation @ ep 0] untrained: reward=QoE=-5603.37
[ep    1] longdress    static_B_2020.02.27_18.39.27.csv@5178  reward=QoE=   27.62 eps=0.999 loss=0.0000
[ep    2] loot         driving_B_2019.12.17_07.32.39.csv@1166  reward=QoE=   -4.78 eps=0.997 loss=0.0000
[ep    3] redandblack  driving_B_2019.12.17_07.32.39.csv@2246  reward=QoE=   28.86 eps=0.995 loss=0.0000
[ep    4] soldier      static_B_2020.02.27_18.39.27.csv@4518  reward=QoE=  -10.69 eps=0.994 loss=0.9104
[ep    5] longdress    driving_B_2020.01.16_07.26.43.csv@211   reward=QoE=  -90.08 eps=0.992 loss=0.9736
[ep    6] loot         driving_B_2020.02.14_09.38.22.csv@421   reward=QoE=  -57.44 eps=0.991 loss=1.1644
[ep    7] redandblack  driving_B_2020.01.16_09.56.56.csv@1570  reward=QoE=   31.36 eps=0.989 loss=1.0873
[ep    8] soldier      driving_B_2020.02.13_15.02.01.csv@81    reward=QoE=   25.59 eps=0.988 loss=1.0003
[ep    9] longdress    static_B_2019.12.16_13.40.04.csv@240   reward=QoE=   29.06 eps=0.986 loss=0.8527
[ep   10] loot         driving_B_2020.01.16_07.26.43.csv@31    reward=QoE=   -2.75 eps=0.985 loss=0.8649
[ep   11] redandblack  static_B_2020.02.27_18.39.27.csv@1818  reward=QoE=  -43.24 eps=0.983 loss=1.0134
[ep   12] soldier      driving_B_2019.12.17_07.32.39.csv@2066  reward=QoE=   24.52 eps=0.982 loss=0.8384
[ep   13] longdress    static_B_2020.02.27_18.39.27.csv@318   reward=QoE=   32.90 eps=0.980 loss=0.8665
[ep   14] loot         static_B_2020.02.27_18.39.27.csv@3558  reward=QoE=   -6.60 eps=0.979 loss=0.7887
[ep   15] redandblack  driving_B_2020.02.13_13.03.24.csv@1879  reward=QoE= -633.03 eps=0.977 loss=1.6636
[ep   16] soldier      static_B_2020.02.27_18.39.27.csv@378   reward=QoE=   40.28 eps=0.976 loss=2.0368
[ep   17] longdress    driving_B_2020.02.13_15.02.01.csv@741   reward=QoE=  -26.22 eps=0.974 loss=1.7525
[ep   18] loot         static_B_2020.02.27_18.39.27.csv@2538  reward=QoE=   27.60 eps=0.973 loss=1.6315
[ep   19] redandblack  static_B_2020.02.14_13.21.26.csv@367   reward=QoE=   45.11 eps=0.971 loss=1.8180
[ep   20] soldier      driving_B_2020.02.27_17.30.15.csv@150   reward=QoE= -772.22 eps=0.970 loss=1.7411
[ep   21] longdress    driving_B_2019.12.17_07.32.39.csv@2288  reward=QoE=    7.07 eps=0.968 loss=2.1198
[ep   22] loot         driving_B_2020.02.13_13.03.24.csv@1519  reward=QoE=  -48.10 eps=0.967 loss=2.5544
[ep   23] redandblack  static_B_2020.02.27_18.39.27.csv@2838  reward=QoE=   22.75 eps=0.965 loss=2.5593
[ep   24] soldier      driving_B_2020.02.13_15.02.01.csv@261   reward=QoE=   33.27 eps=0.964 loss=2.0892
[ep   25] longdress    driving_B_2020.01.16_07.26.43.csv@1171  reward=QoE=  -76.85 eps=0.962 loss=2.0916
[ep   26] loot         driving_B_2020.02.27_17.30.15.csv@720   reward=QoE= -223.61 eps=0.961 loss=2.2079
[ep   27] redandblack  driving_B_2020.02.13_13.03.24.csv@1099  reward=QoE= -141.35 eps=0.959 loss=2.2084
[ep   28] soldier      driving_B_2020.01.16_09.56.56.csv@76    reward=QoE= -191.67 eps=0.958 loss=2.6674
[ep   29] longdress    static_B_2020.02.14_13.21.26.csv@667   reward=QoE=   31.53 eps=0.956 loss=2.3266
[ep   30] loot         driving_B_2020.01.16_07.26.43.csv@871   reward=QoE=  -70.85 eps=0.954 loss=2.3284
[ep   31] redandblack  driving_B_2019.12.16_12.27.05.csv@377   reward=QoE= -326.56 eps=0.953 loss=2.4415
[ep   32] soldier      static_B_2019.12.16_13.40.04.csv@480   reward=QoE=  -14.47 eps=0.951 loss=2.4632
[ep   33] longdress    driving_B_2020.01.16_09.56.56.csv@136   reward=QoE=  -78.29 eps=0.950 loss=2.1482
[ep   34] loot         static_B_2020.02.27_18.39.27.csv@4038  reward=QoE=   41.53 eps=0.948 loss=2.2674
